round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,0,0,0,90.00000000000009,0.10696069606960683,0.3171317131713174,0.1636163616361636,0.0032336566990032248,0.0032336566990032248,0.2506250625062506,0.10696069606960683,0.0032336566990032248,0.022502250225022474,0.022502250225022474,0.31113111311131136,0.13071307130713078,0.2506250625062506,0.21392139213921366,0.009700970097009674,0.024702470247024665,0.0,0.04500450045004495,0.008200820082008177,0.0060006000600060045,0.0
2,complete,91,180.60676368778633,181,90,0,0,0,90.00000000000009,0.10696069606960683,0.3171317131713174,0.1636163616361636,0.0032336566990032248,0.0032336566990032248,0.2506250625062506,0.10696069606960683,0.0032336566990032248,0.022502250225022474,0.022502250225022474,0.31113111311131136,0.13071307130713078,0.2506250625062506,0.21392139213921366,0.009700970097009674,0.024702470247024665,0.0,0.04500450045004495,0.008200820082008177,0.0060006000600060045,0.0
3,complete,182,271.6067636877863,272,90,0,0,0,90.00000000000009,0.10696069606960683,0.3171317131713174,0.1636163616361636,0.0032336566990032248,0.0032336566990032248,0.2506250625062506,0.10696069606960683,0.0032336566990032248,0.022502250225022474,0.022502250225022474,0.31113111311131136,0.13071307130713078,0.2506250625062506,0.21392139213921366,0.009700970097009674,0.024702470247024665,0.0,0.04500450045004495,0.008200820082008177,0.0060006000600060045,0.0
4,complete,273,362.6067636877863,363,90,0,0,0,90.00000000000003,0.07273727372737274,0.21504150415041526,0.4137502639152805,0.0022024424664688707,0.0022024424664688707,0.18859108133035493,0.07273727372737274,0.0022024424664688707,0.015267637874898618,0.015267637874898618,0.2109744307764112,0.08911002211332252,0.18859108133035493,0.14547454745474547,0.006607327399406612,0.31908190819081916,0.0,0.030535275749797235,0.005558333611138883,0.004067073374004069,0.0
5,complete,364,453.6067636877863,454,90,0,0,0,89.99999999999993,0.0006567183385005174,0.00030002066873354073,0.9550780815859364,3.333562985928227e-05,3.333562985928227e-05,0.04310844728917341,0.0006567183385005174,3.333562985928227e-05,5.00034447889234e-05,5.00034447889234e-05,0.00030002066873354073,0.001320110233245551,0.04310844728917341,0.0013134366770010347,0.0001000068895778468,0.9537579713526908,0.0,0.0001000068895778468,0.0,0.0,0.0
6,complete,455,544.6067636877864,545,90,0,0,0,89.99999999999997,0.0004499999999999997,0.00030000000000000073,0.9887,3.333333333333335e-05,3.333333333333335e-05,0.009900000000000016,0.0004499999999999997,3.333333333333335e-05,5.000000000000002e-05,5.000000000000002e-05,0.00030000000000000073,0.0006999999999999996,0.009900000000000016,0.0008999999999999994,0.00010000000000000005,0.988,0.0,0.00010000000000000005,0.0,0.0,0.0
7,complete,546,635.6067636877864,636,90,0,0,0,89.99999999999997,0.0004499999999999997,0.00030000000000000073,0.9887,3.333333333333335e-05,3.333333333333335e-05,0.009900000000000016,0.0004499999999999997,3.333333333333335e-05,5.000000000000002e-05,5.000000000000002e-05,0.00030000000000000073,0.0006999999999999996,0.009900000000000016,0.0008999999999999994,0.00010000000000000005,0.988,0.0,0.00010000000000000005,0.0,0.0,0.0
8,complete,637,726.6067636877864,727,90,0,0,0,89.99999999999994,0.02581000000000001,0.1027800000000001,0.6635399999999997,0.0018200000000000022,0.0018200000000000022,0.05590000000000002,0.02581000000000001,0.0018200000000000022,0.06035000000000004,0.06035000000000004,0.1027800000000001,0.008140000000000001,0.05590000000000002,0.05162000000000002,0.0054600000000000065,0.6545999999999997,0.0,0.12070000000000008,0.000800000000000001,0.0,0.0
9,complete,728,817.6067636877864,818,90,0,0,0,89.99999999999996,0.08076777777777769,0.1928666666666669,0.2411199999999998,0.004789629629629639,0.004789629629629639,0.1930822222222223,0.08076777777777769,0.004789629629629639,0.09851333333333331,0.09851333333333331,0.1928666666666669,0.012911111111111099,0.1930822222222223,0.16153555555555538,0.014368888888888917,0.22600444444444426,0.000408888888888889,0.19661777777777775,0.001693333333333337,0.0,0.0005111111111111117
10,complete,819,908.6067636877864,909,90,0,0,0,89.99999999999987,0.09694999999999998,0.132,0.30360000000000004,0.005066666666666681,0.005066666666666681,0.2583,0.09694999999999998,0.005066666666666681,0.048499999999999974,0.048499999999999974,0.132,0.006800000000000003,0.2583,0.19389999999999996,0.015200000000000045,0.29440000000000005,0.0008000000000000012,0.09619999999999995,0.0014000000000000009,0.0,0.0010000000000000022
11,complete,910,999.6067636877864,1000,90,0,0,0,89.99999999999987,0.09694999999999998,0.132,0.30360000000000004,0.005066666666666681,0.005066666666666681,0.2583,0.09694999999999998,0.005066666666666681,0.048499999999999974,0.048499999999999974,0.132,0.006800000000000003,0.2583,0.19389999999999996,0.015200000000000045,0.29440000000000005,0.0008000000000000012,0.09619999999999995,0.0014000000000000009,0.0,0.0010000000000000022
