round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,140,14,0,89.99999999999989,0.000702081805861051,0.005974360683418879,0.0008354275811504378,0.00011553244906574255,0.00011553244906574255,0.00259509520318159,0.000702081805861051,0.00011553244906574255,0.49442217778666486,0.49442217778666486,0.005847719345019892,0.00043991201759648133,0.00259509520318159,0.001404163611722102,0.00034659734719722765,0.00023552800551000943,0.0,0.9888443555733297,0.000159987558043947,0.00012664133839898704,0.0
2,complete,91,180.60676368778633,181,90,140,14,0,90.00000000000004,0.031593681263747196,0.2688462307538494,0.028794241151769616,0.0051989602079584125,0.0051989602079584125,0.10357928414317119,0.031593681263747196,0.0051989602079584125,0.2599980003999201,0.2599980003999201,0.263147370525895,0.019796040791841604,0.10357928414317119,0.06318736252749439,0.015596880623875237,0.006198760247950406,0.0,0.5199960007998402,0.0027994401119776063,0.005698860227954404,0.0
3,complete,182,271.6067636877863,272,90,140,14,0,90.00000000000004,0.031593681263747196,0.2688462307538494,0.028794241151769616,0.0051989602079584125,0.0051989602079584125,0.10357928414317119,0.031593681263747196,0.0051989602079584125,0.2599980003999201,0.2599980003999201,0.263147370525895,0.019796040791841604,0.10357928414317119,0.06318736252749439,0.015596880623875237,0.006198760247950406,0.0,0.5199960007998402,0.0027994401119776063,0.005698860227954404,0.0
4,complete,273,362.6067636877863,363,90,140,14,0,90.0,0.03311133152907367,0.2758973687810697,0.13517321804832616,0.005070561045306694,0.005070561045306694,0.11879970773855365,0.03311133152907367,0.005070561045306694,0.19434767961899158,0.19434767961899158,0.2709069173930661,0.115153045665161,0.11879970773855365,0.06622266305814734,0.015211683135920081,0.013772339041542632,0.0,0.38869535923798315,0.006247833341622512,0.004990451388003554,0.0
5,complete,364,453.6067636877863,454,90,140,14,0,90.00000000000001,0.036303630363036216,0.29072907290729133,0.35893589358935835,0.00480048004800481,0.00480048004800481,0.15081508150815098,0.036303630363036216,0.00480048004800481,0.056255625562556255,0.056255625562556255,0.28722872287228784,0.3157315731573151,0.15081508150815098,0.07260726072607243,0.01440144014401443,0.02970297029702972,0.0,0.11251125112511251,0.013501350135013497,0.0035003500350035016,0.0
6,complete,455,544.6067636877864,545,90,140,14,0,89.99999999999996,0.02283895056172279,0.290309030903091,0.20734740140680682,0.004100410041004106,0.004100410041004106,0.12607927459412632,0.02283895056172279,0.004100410041004106,0.15914258092475897,0.15914258092475897,0.2825149181584832,0.16988365503216937,0.12607927459412632,0.04567790112344558,0.012301230123012317,0.016261626162616245,0.0,0.31828516184951794,0.021202120212021218,0.007794112744607807,0.0
7,complete,546,635.6067636877864,636,90,140,14,0,89.99999999999994,0.007450745074507457,0.2898289828982904,0.03410341034103413,0.0033003300330033047,0.0033003300330033047,0.097809780978098,0.007450745074507457,0.0033003300330033047,0.2767276727672763,0.2767276727672763,0.2771277127712777,0.003200320032003208,0.097809780978098,0.014901490149014915,0.009900990099009913,0.0009000900090009025,0.0,0.5534553455345526,0.03000300030003002,0.012701270127012708,0.0
8,complete,637,726.6067636877864,727,90,140,14,0,89.99999999999989,0.039450447044704524,0.38745738973897415,0.023262046204620537,0.005100198019801991,0.005100198019801991,0.1161258685868588,0.039450447044704524,0.005100198019801991,0.18947660366036576,0.18947660366036576,0.3798366276627665,0.001920192019201924,0.1161258685868588,0.07890089408940905,0.015300594059405972,0.001300054005400542,0.0,0.3789532073207315,0.02004180018001807,0.007620762076207637,0.0
9,complete,728,817.6067636877864,818,90,140,14,0,90.00000000000001,0.08744999999999979,0.5339000000000004,0.006999999999999997,0.007800000000000012,0.007800000000000012,0.14359999999999978,0.08744999999999979,0.007800000000000012,0.05860000000000011,0.05860000000000011,0.5339000000000004,0.0,0.14359999999999978,0.17489999999999958,0.023400000000000035,0.0019000000000000026,0.0,0.11720000000000022,0.005099999999999993,0.0,0.0
10,complete,819,908.6067636877864,909,90,140,14,0,90.00000000000009,0.01915666666666669,0.5650133333333334,0.007606666666666654,0.0075111111111110995,0.0075111111111110995,0.07756000000000002,0.01915666666666669,0.0075111111111110995,0.14448666666666665,0.14448666666666665,0.5650133333333334,0.0,0.07756000000000002,0.03831333333333338,0.022533333333333298,0.0016399999999999982,0.0,0.2889733333333333,0.005966666666666657,0.0,0.0
11,complete,910,999.6067636877864,1000,90,140,14,0,90.00000000000009,0.008650000000000005,0.5698000000000001,0.007699999999999988,0.007466666666666653,0.007466666666666653,0.0674,0.008650000000000005,0.007466666666666653,0.15769999999999998,0.15769999999999998,0.5698000000000001,0.0,0.0674,0.01730000000000001,0.022399999999999958,0.0015999999999999988,0.0,0.31539999999999996,0.00609999999999999,0.0,0.0
12,complete,1001,1090.6067636877863,1091,90,140,14,0,90.00000000000009,0.007700001111222237,0.5064888888888889,0.00717781111444477,0.0066370370370370255,0.0066370370370370255,0.0602333655587781,0.007700001111222237,0.0066370370370370255,0.19539441055216636,0.19539441055216636,0.5064888888888889,0.0,0.0602333655587781,0.015400002222444474,0.019911111111111074,0.0017555888922225565,0.0,0.3907888211043327,0.005422222222222213,0.0,0.0
13,complete,1092,1181.6067636877863,1182,90,140,14,0,89.99999999999994,5.556111166672228e-05,0.15091824150918237,0.01637647349709808,0.00010369333437026665,0.00010369333437026665,0.08689163309113858,5.556111166672228e-05,0.00010369333437026665,0.3726957248380684,0.3726957248380684,0.15091824150918237,0.002577520025775201,0.08689163309113858,0.00011112222333344456,0.0003110800031107999,0.002244553355778866,0.0,0.7453914496761368,0.007865880078658813,0.0,0.003688520036885201
