round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,complete,91,180.60676368778633,181,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,complete,182,271.6067636877863,272,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,complete,273,362.6067636877863,363,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,complete,364,453.6067636877863,454,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,complete,455,544.6067636877864,545,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,complete,546,635.6067636877864,636,90,120,12,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,complete,637,726.6067636877864,727,90,120,12,0,89.99999999999991,0.01402933093309335,0.1813136353635365,0.35734282028202846,0.001855684901823518,0.001855684901823518,0.1829543854385439,0.01402933093309335,0.001855684901823518,0.12238172117211693,0.12238172117211693,0.17942252425242539,0.2421300950095011,0.1829543854385439,0.0280586618661867,0.005567054705470554,0.1124591319131914,0.0,0.24476344234423386,0.0003133493349334941,0.0018911111111111134,0.0024402440244024413
9,complete,728,817.6067636877864,818,90,120,12,0,90.00000000000006,0.011051105110511071,0.17421742174217406,0.4038403840384038,0.0032336566990032256,0.0032336566990032256,0.3596359635963599,0.011051105110511071,0.0032336566990032256,0.015251525152515223,0.015251525152515223,0.17421742174217406,0.1968196819681969,0.3596359635963599,0.022102210221022142,0.009700970097009678,0.20052005200520043,0.0,0.030503050305030446,0.0004000400040004005,0.0,0.006100610061006098
10,complete,819,908.6067636877864,909,90,120,12,0,90.00000000000006,0.011051105110511071,0.17421742174217406,0.4038403840384038,0.0032336566990032256,0.0032336566990032256,0.3596359635963599,0.011051105110511071,0.0032336566990032256,0.015251525152515223,0.015251525152515223,0.17421742174217406,0.1968196819681969,0.3596359635963599,0.022102210221022142,0.009700970097009678,0.20052005200520043,0.0,0.030503050305030446,0.0004000400040004005,0.0,0.006100610061006098
