round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,40,4,0,89.99999999999993,0.00482526858425269,0.07895479785354802,0.0024620249086202512,0.0005947977054146438,0.0005947977054146438,0.009282046906420484,0.00482526858425269,0.0005947977054146438,0.4489331000233309,0.4489331000233309,0.07875035429790359,0.0019064857958648596,0.009282046906420484,0.00965053716850538,0.0017843931162439312,0.0005133211123332116,0.0,0.8978662000466618,4.221800042218004e-05,0.00020444355564443577,0.0
2,complete,91,180.60676368778633,181,90,40,4,0,89.99999999999999,0.1291370862913707,0.3409659034096597,0.08879112088791137,0.007699230076992306,0.007699230076992306,0.07889211078892097,0.1291370862913707,0.007699230076992306,0.10498950104989486,0.10498950104989486,0.3405659434056601,0.08139186081391876,0.07889211078892097,0.2582741725827414,0.02309769023097692,0.005499450054994513,0.0,0.20997900209978973,0.0018998100189981024,0.0003999600039996,0.0
3,complete,182,271.6067636877863,272,90,40,4,0,89.99999999999999,0.1291370862913707,0.3409659034096597,0.08879112088791137,0.007699230076992306,0.007699230076992306,0.07889211078892097,0.1291370862913707,0.007699230076992306,0.10498950104989486,0.10498950104989486,0.3405659434056601,0.08139186081391876,0.07889211078892097,0.2582741725827414,0.02309769023097692,0.005499450054994513,0.0,0.20997900209978973,0.0018998100189981024,0.0003999600039996,0.0
4,complete,273,362.6067636877863,363,90,40,4,0,89.99999999999996,0.16543179015431766,0.31016453910164576,0.08131631281316314,0.00738777974054447,0.00738777974054447,0.0980624159806241,0.16543179015431766,0.00738777974054447,0.07871490628714913,0.07871490628714913,0.30889466608894706,0.061448299614483,0.0980624159806241,0.33086358030863533,0.02216333922163341,0.01664722416647225,0.001868702018687021,0.15556111055561123,0.0015454010154540086,0.0012698730126987313,0.0016753880167538816
5,complete,364,453.6067636877863,454,90,40,4,0,89.99999999999994,0.241775822417758,0.24537546245375497,0.0655934406559344,0.006732660067326612,0.006732660067326612,0.13838616138386162,0.241775822417758,0.006732660067326612,0.023447655234476592,0.023447655234476592,0.24227577242275808,0.019498050194980483,0.13838616138386162,0.483551644835516,0.020197980201979833,0.04009599040095993,0.005799420057994211,0.04109589041095898,0.0007999200079992003,0.003099690030996899,0.005199480051994794
6,complete,455,544.6067636877864,545,90,40,4,0,89.99999999999993,0.1671204386228042,0.4106802466420026,0.0498698350164984,0.004912974258129743,0.004912974258129743,0.14310595273805973,0.1671204386228042,0.004912974258129743,0.02368208279172082,0.02368208279172082,0.40828041195880427,0.011145626770656305,0.14310595273805973,0.3342408772456084,0.01473892277438923,0.03011119488051195,0.00542635736426358,0.04193780821917807,0.0008932906709329082,0.0023998346831983442,0.007719722694397246
7,complete,546,635.6067636877864,636,90,40,4,0,89.99999999999997,0.08180000000000015,0.5995999999999996,0.031900000000000026,0.00283333333333333,0.00283333333333333,0.14850000000000022,0.08180000000000015,0.00283333333333333,0.023949999999999992,0.023949999999999992,0.5979999999999995,0.0016000000000000007,0.14850000000000022,0.1636000000000003,0.00849999999999999,0.018699999999999994,0.0050000000000000044,0.04289999999999998,0.001000000000000001,0.0016000000000000007,0.01060000000000003
8,complete,637,726.6067636877864,727,90,40,4,0,90.0000000000001,0.05329957804219588,0.38011796420357985,0.2530766063393657,0.0020999600039996037,0.0020999600039996037,0.21820708929107083,0.05329957804219588,0.0020999600039996037,0.01784965203479654,0.01784965203479654,0.3791579642035799,0.0018399120087991198,0.21820708929107083,0.10659915608439176,0.006299880011998811,0.23179794220577904,0.005199780021997806,0.030499524047595275,0.0012399360063993599,0.0009599999999999992,0.018198816118388157
9,complete,728,817.6067636877864,818,90,40,4,0,89.99999999999991,0.010548945105489444,0.05089491050894911,0.5848415158484147,0.0009999000099990007,0.0009999000099990007,0.32276772322767777,0.010548945105489444,0.0009999000099990007,0.008699130086991308,0.008699130086991308,0.05089491050894911,0.002199780021997805,0.32276772322767777,0.021097890210978888,0.0029997000299970024,0.551444855514448,0.005499450054994517,0.011898810118988098,0.0015998400159984013,0.0,0.029597040295970458
10,complete,819,908.6067636877864,909,90,40,4,0,90.0000000000001,0.11462520414625203,0.20540612605406117,0.2249508382495084,0.013420880134208802,0.013420880134208802,0.2738059527380597,0.11462520414625203,0.013420880134208802,0.013162017131620157,0.013162017131620157,0.20540612605406117,0.0028063860280638613,0.2738059527380597,0.22925040829250407,0.04026264040262641,0.2170316301703163,0.0007332600073325991,0.025590774255907715,0.0011665500116655003,0.0,0.003946272039462718
11,complete,910,999.6067636877864,1000,90,40,4,0,90.00000000000013,0.1306369363063694,0.2291770822917705,0.16958304169583058,0.015331800153317997,0.015331800153317997,0.26627337266273376,0.1306369363063694,0.015331800153317997,0.013848615138486139,0.013848615138486139,0.2291770822917705,0.002899710028997099,0.26627337266273376,0.2612738726127388,0.04599540045995399,0.16558344165583455,0.0,0.027697230276972278,0.0010998900109989,0.0,0.0
