round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,complete,91,180.60676368778633,181,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,complete,182,271.6067636877863,272,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,complete,273,362.6067636877863,363,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,complete,364,453.6067636877863,454,90,100,10,0,89.99999999999983,1.555400015554003e-05,0.025570776255707816,0.014900732149007357,0.0004977280049772812,0.0004977280049772812,0.02687731226877317,1.555400015554003e-05,0.0004977280049772812,0.4655634436556344,0.4655634436556344,0.025539668255396733,0.0029241520292415273,0.02687731226877317,3.110800031108006e-05,0.0014931840149318436,0.011914364119143669,0.0,0.9311268873112688,6.221600062216012e-05,3.110800031108006e-05,0.0
6,complete,455,544.6067636877864,545,90,100,10,0,90.00000000000001,4.999500049994998e-05,0.0821917808219179,0.04789521047895215,0.0015998400159984022,0.0015998400159984022,0.08639136086391368,4.999500049994998e-05,0.0015998400159984022,0.38931106889311057,0.38931106889311057,0.08209179082091801,0.009399060093990604,0.08639136086391368,9.999000099989996e-05,0.004799520047995207,0.03829617038296174,0.0,0.7786221377862211,0.00019998000199979992,9.999000099989996e-05,0.0
7,complete,546,635.6067636877864,636,90,100,10,0,90.00000000000001,4.999500049994998e-05,0.0821917808219179,0.04789521047895215,0.0015998400159984022,0.0015998400159984022,0.08639136086391368,4.999500049994998e-05,0.0015998400159984022,0.38931106889311057,0.38931106889311057,0.08209179082091801,0.009399060093990604,0.08639136086391368,9.999000099989996e-05,0.004799520047995207,0.03829617038296174,0.0,0.7786221377862211,0.00019998000199979992,9.999000099989996e-05,0.0
8,complete,637,726.6067636877864,727,90,100,10,0,90.00000000000001,2.9997000299970018e-05,0.04931506849315067,0.02873712628737125,0.0009599040095990396,0.0009599040095990396,0.05183481651834819,2.9997000299970018e-05,0.0009599040095990396,0.43358664133586644,0.43358664133586644,0.049255074492550725,0.0056394360563943625,0.05183481651834819,5.9994000599940035e-05,0.0028797120287971188,0.022977702229777006,0.0,0.8671732826717329,0.00011998800119988007,5.9994000599940035e-05,0.0
9,complete,728,817.6067636877864,818,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,complete,819,908.6067636877864,909,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,complete,910,999.6067636877864,1000,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,complete,1001,1090.6067636877863,1091,90,100,10,0,90.0,0.01405555555555555,0.30744999999999995,0.016683333333333317,0.0031777777777777737,0.0031777777777777737,0.1655499999999998,0.01405555555555555,0.0031777777777777737,0.23633611111111125,0.23633611111111125,0.30744999999999995,0.00812777777777777,0.1655499999999998,0.0281111111111111,0.00953333333333332,0.007516666666666659,6.111111111111112e-05,0.47261111111111137,0.0010388888888888876,0.0,0.0
13,complete,1092,1181.6067636877863,1182,90,100,10,0,90.00000000000004,0.014133468902445804,0.5518383449456059,0.05437058705870586,0.003259296300000371,0.003259296300000371,0.20379421831071987,0.014133468902445804,0.003259296300000371,0.07597601149003787,0.07597601149003787,0.5518383449456059,0.009566884466224411,0.20379421831071987,0.028266937804891607,0.009777888900001114,0.02634639575068615,0.015879360158238043,0.13607266282183772,0.0011222400017779548,0.0,0.017335066840017337
14,complete,1183,1272.6067636877863,1273,90,100,10,0,90.00000000000009,0.0244402135213521,0.5646228932893291,0.07962617461746167,0.0008633916725005824,0.0008633916725005824,0.17033839383938393,0.0244402135213521,0.0008633916725005824,0.06697096809680965,0.06697096809680965,0.5646228932893291,0.00985034303430341,0.17033839383938393,0.0488804270427042,0.002590175017501747,0.036373073307330715,0.025822492249224928,0.10811944394439436,0.0009400280028002788,0.0,0.03246273027302727
15,complete,1274,1363.6067636877863,1364,90,100,10,0,90.00000000000004,0.0743499999999999,0.45230000000000026,0.05960000000000002,0.000933333333333332,0.000933333333333332,0.28800000000000003,0.0743499999999999,0.000933333333333332,0.02429999999999997,0.02429999999999997,0.45230000000000026,0.02140000000000002,0.28800000000000003,0.1486999999999998,0.002799999999999996,0.01879999999999997,0.0030000000000000005,0.04559999999999994,0.0022,0.0,0.017200000000000024
16,complete,1365,1454.6067636877863,1455,90,100,10,0,89.99999999999991,0.07542575401984643,0.4313742011978975,0.07677690524608019,0.0009022481507410013,0.0009022481507410013,0.26134407218499617,0.07542575401984643,0.0009022481507410013,0.038473284439555125,0.038473284439555125,0.4313742011978975,0.03913577268837996,0.26134407218499617,0.15085150803969286,0.002706744452223004,0.013448938671644959,0.0020666666666666698,0.07487990221244359,0.009076311631163117,0.0,0.015115882254892157
17,complete,1456,1545.6067636877863,1546,90,100,10,0,89.99999999999996,0.07780778077807776,0.38503850385038507,0.11481148114811478,0.0008334166750008349,0.0008334166750008349,0.20232023202320248,0.07780778077807776,0.0008334166750008349,0.06985698569856982,0.06985698569856982,0.38503850385038507,0.07840784078407834,0.20232023202320248,0.15561556155615552,0.0025002500250025047,0.0016001600160016037,0.0,0.13971397139713965,0.024302430243024337,0.0,0.01050105010501049
18,complete,1547,1636.6067636877863,1637,90,100,10,0,90.00000000000003,0.045926620681488534,0.41194107700829996,0.13046466508242424,0.0006363289693262505,0.0006363289693262505,0.16941532658304195,0.045926620681488534,0.0006363289693262505,0.09720835152763897,0.09720835152763897,0.41194107700829996,0.07620588431761421,0.16941532658304195,0.09185324136297707,0.0019089869079787515,0.002191076910799657,0.0,0.19441670305527795,0.038105664381056656,0.0,0.013962039472953724
19,complete,1638,1727.6067636877863,1728,90,100,10,0,90.00000000000001,0.0022997700229976954,0.4487551244875519,0.151884811518848,0.00036663000366630045,0.00036663000366630045,0.12438756124387546,0.0022997700229976954,0.00036663000366630045,0.1346365363463652,0.1346365363463652,0.4487551244875519,0.07319268073192672,0.12438756124387546,0.004599540045995391,0.0010998900109989013,0.002999700029996999,0.0,0.2692730726927304,0.05699430056994297,0.0,0.0186981301869813
20,complete,1729,1818.6067636877863,1819,90,100,10,0,90.0,0.0038943192347431956,0.4668611233321113,0.1286128418269285,0.0004577578168109107,0.0004577578168109107,0.15045100556610996,0.0038943192347431956,0.0004577578168109107,0.12245655867746552,0.12245655867746552,0.4668611233321113,0.04208157062071579,0.15045100556610996,0.007788638469486391,0.001373273450432732,0.006097614460776139,0.00036444444444444426,0.2445486729104866,0.035995785865857825,0.0,0.04443787087957874
21,complete,1820,1909.6067636877863,1910,90,100,10,0,89.99999999999997,0.005800000000000015,0.4885000000000001,0.10079999999999999,0.0005666666666666664,0.0005666666666666664,0.18159999999999996,0.005800000000000015,0.0005666666666666664,0.10789999999999998,0.10789999999999998,0.4885000000000001,0.004900000000000005,0.18159999999999996,0.01160000000000003,0.001699999999999999,0.00980000000000001,0.0008000000000000004,0.21499999999999997,0.010900000000000017,0.0,0.07519999999999995
22,complete,1911,2000.6067636877863,2001,90,100,10,0,90.0000000000001,0.006940002000200022,0.4558399999999999,0.006760060006000592,0.005973333333333322,0.005973333333333322,0.05450005800580057,0.006940002000200022,0.005973333333333322,0.2255499389938994,0.2255499389938994,0.4558399999999999,0.0,0.05450005800580057,0.013880004000400044,0.017919999999999967,0.0018800600060006009,0.0,0.4510998779877988,0.004879999999999991,0.0,0.0
23,complete,2002,2091.6067636877865,2092,90,100,10,0,89.99999999999994,0.00010001000100010024,0.0,0.003000300030003007,0.0,0.0,0.0029002900290029054,0.00010001000100010024,0.0,0.4969496949694969,0.4969496949694969,0.0,0.0,0.0029002900290029054,0.0002000200020002005,0.0,0.003000300030003007,0.0,0.9938993899389938,0.0,0.0,0.0
24,complete,2093,2182.6067636877865,2183,90,100,10,0,89.99999999999994,0.00010001000100010024,0.0,0.003000300030003007,0.0,0.0,0.0029002900290029054,0.00010001000100010024,0.0,0.4969496949694969,0.4969496949694969,0.0,0.0,0.0029002900290029054,0.0002000200020002005,0.0,0.003000300030003007,0.0,0.9938993899389938,0.0,0.0,0.0
25,complete,2184,2273.6067636877865,2274,90,100,10,0,90.0000000000002,5.778355613339102e-05,0.005616117167272274,0.0018179595737351478,2.815096324447252e-05,2.815096324447252e-05,0.007418519629740741,5.778355613339102e-05,2.815096324447252e-05,0.4924736918136258,0.4924736918136258,0.005616117167272274,4.2226444866708784e-05,0.007418519629740741,0.00011556711226678204,8.445288973341757e-05,0.0017757331288684392,0.0,0.9849473836272516,0.0,0.0,0.0
26,complete,2275,2364.6067636877865,2365,90,100,10,0,90.00000000000009,0.0,0.012857952461912844,0.0001933526686001935,6.445088953339784e-05,6.445088953339784e-05,0.013147981464813161,0.0,6.445088953339784e-05,0.4868036803680368,0.4868036803680368,0.012857952461912844,9.667633430009675e-05,0.013147981464813161,0.0,0.0001933526686001935,9.667633430009675e-05,0.0,0.9736073607360736,0.0,0.0,0.0
27,complete,2366,2455.6067636877865,2456,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,complete,2457,2546.6067636877865,2547,90,100,10,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,complete,2548,2637.6067636877865,2638,90,100,10,0,89.99999999999993,0.008586666666666666,0.0046766666666666675,0.31678666666666705,0.0006644444444444446,0.0006644444444444446,0.09606333333333346,0.008586666666666666,0.0006644444444444446,0.2816533333333331,0.2816533333333331,0.0046766666666666675,0.007360000000000014,0.09606333333333346,0.017173333333333332,0.001993333333333334,0.3070500000000004,0.0,0.5633066666666662,0.0023766666666666667,0.0,0.0
