round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,60,6,0,90.00000000000006,0.023152315231523148,0.5188518851885187,0.0033003300330033047,0.002066873354002067,0.002066873354002067,0.041004100410041065,0.023152315231523148,0.002066873354002067,0.19216921692169223,0.19216921692169223,0.5096509650965095,0.0006000600060006003,0.041004100410041065,0.046304630463046295,0.006200620062006203,0.001800180018001803,0.0,0.38433843384338445,0.0009000900090009015,0.009200920092009204,0.0
2,complete,91,180.60676368778633,181,90,60,6,0,90.00000000000006,0.023152315231523148,0.5188518851885187,0.0033003300330033047,0.002066873354002067,0.002066873354002067,0.041004100410041065,0.023152315231523148,0.002066873354002067,0.19216921692169223,0.19216921692169223,0.5096509650965095,0.0006000600060006003,0.041004100410041065,0.046304630463046295,0.006200620062006203,0.001800180018001803,0.0,0.38433843384338445,0.0009000900090009015,0.009200920092009204,0.0
3,complete,182,271.6067636877863,272,90,60,6,0,90.00000000000006,0.023152315231523148,0.5188518851885187,0.0033003300330033047,0.002066873354002067,0.002066873354002067,0.041004100410041065,0.023152315231523148,0.002066873354002067,0.19216921692169223,0.19216921692169223,0.5096509650965095,0.0006000600060006003,0.041004100410041065,0.046304630463046295,0.006200620062006203,0.001800180018001803,0.0,0.38433843384338445,0.0009000900090009015,0.009200920092009204,0.0
4,complete,273,362.6067636877863,363,90,60,6,0,89.99999999999997,0.029034887266504418,0.4892582716049379,0.0041980789190030135,0.004212131731691693,0.004212131731691693,0.04357110288806657,0.029034887266504418,0.004212131731691693,0.1961331884299543,0.1961331884299543,0.4829443108755317,0.00040670733740040673,0.04357110288806657,0.058069774533008836,0.01263639519507508,0.002930195686235291,0.0,0.3922663768599086,0.000861175895367316,0.006313960729406258,0.0
5,complete,364,453.6067636877863,454,90,60,6,0,90.0,0.028602860286028594,0.2820282028202817,0.004100410041004092,0.007400740074007408,0.007400740074007408,0.02890289028902887,0.028602860286028594,0.007400740074007408,0.30278027802780294,0.30278027802780294,0.2818281828182815,0.0,0.02890289028902887,0.05720572057205719,0.022202220222022225,0.003900390039003892,0.0,0.6055605560556059,0.00020002000200020038,0.00020002000200020038,0.0
6,complete,455,544.6067636877864,545,90,60,6,0,90.0,0.028602860286028594,0.2820282028202817,0.004100410041004092,0.007400740074007408,0.007400740074007408,0.02890289028902887,0.028602860286028594,0.007400740074007408,0.30278027802780294,0.30278027802780294,0.2818281828182815,0.0,0.02890289028902887,0.05720572057205719,0.022202220222022225,0.003900390039003892,0.0,0.6055605560556059,0.00020002000200020038,0.00020002000200020038,0.0
7,complete,546,635.6067636877864,636,90,60,6,0,90.0,0.028602860286028594,0.2820282028202817,0.004100410041004092,0.007400740074007408,0.007400740074007408,0.02890289028902887,0.028602860286028594,0.007400740074007408,0.30278027802780294,0.30278027802780294,0.2818281828182815,0.0,0.02890289028902887,0.05720572057205719,0.022202220222022225,0.003900390039003892,0.0,0.6055605560556059,0.00020002000200020038,0.00020002000200020038,0.0
8,complete,637,726.6067636877864,727,90,60,6,0,90.0,0.04514228750652849,0.32716018146259057,0.004813769376937695,0.00955811325577002,0.00955811325577002,0.03792556522318898,0.04514228750652849,0.00955811325577002,0.25557078457845783,0.25557078457845783,0.3270401694613905,4.2226444866708885e-05,0.03792556522318898,0.09028457501305698,0.02867433976731006,0.003965916258292498,0.0,0.5111415691569157,0.0007867377848895993,0.00012001200120012008,1.8888888888888896e-05
9,complete,728,817.6067636877864,818,90,60,6,0,90.00000000000003,0.02965000000000001,0.4282999999999999,0.0024000000000000024,0.01323333333333331,0.01323333333333331,0.023800000000000023,0.02965000000000001,0.01323333333333331,0.22325000000000006,0.22325000000000006,0.4282999999999999,0.0,0.023800000000000023,0.05930000000000002,0.03969999999999993,0.0019000000000000024,0.0,0.4465000000000001,0.0003999999999999999,0.0,9.999999999999998e-05
10,complete,819,908.6067636877864,909,90,60,6,0,90.00000000000003,0.02965000000000001,0.4282999999999999,0.0024000000000000024,0.01323333333333331,0.01323333333333331,0.023800000000000023,0.02965000000000001,0.01323333333333331,0.22325000000000006,0.22325000000000006,0.4282999999999999,0.0,0.023800000000000023,0.05930000000000002,0.03969999999999993,0.0019000000000000024,0.0,0.4465000000000001,0.0003999999999999999,0.0,9.999999999999998e-05
