round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,160,16,0,90.00000000000003,0.002399760023997603,0.5941405859414055,0.03989601039896009,0.0009332400093323981,0.0009332400093323981,0.2544745525447457,0.002399760023997603,0.0009332400093323981,0.05194480551944814,0.05194480551944814,0.5924407559244073,0.025097490250974883,0.2544745525447457,0.004799520047995206,0.0027997200279971943,0.0038996100389960967,0.0,0.10388961103889628,0.01089891010898911,0.001699830016998302,0.0
2,complete,91,180.60676368778633,181,90,160,16,0,90.00000000000003,0.002399760023997603,0.5941405859414055,0.03989601039896009,0.0009332400093323981,0.0009332400093323981,0.2544745525447457,0.002399760023997603,0.0009332400093323981,0.05194480551944814,0.05194480551944814,0.5924407559244073,0.025097490250974883,0.2544745525447457,0.004799520047995206,0.0027997200279971943,0.0038996100389960967,0.0,0.10388961103889628,0.01089891010898911,0.001699830016998302,0.0
3,complete,182,271.6067636877863,272,90,160,16,0,90.00000000000003,0.002399760023997603,0.5941405859414055,0.03989601039896009,0.0009332400093323981,0.0009332400093323981,0.2544745525447457,0.002399760023997603,0.0009332400093323981,0.05194480551944814,0.05194480551944814,0.5924407559244073,0.025097490250974883,0.2544745525447457,0.004799520047995206,0.0027997200279971943,0.0038996100389960967,0.0,0.10388961103889628,0.01089891010898911,0.001699830016998302,0.0
4,complete,273,362.6067636877863,363,90,160,16,0,89.99999999999999,0.0021865600218655993,0.4227106208937726,0.029387530627208638,0.0009703408985922969,0.0009703408985922969,0.18451840084518414,0.0021865600218655993,0.0009703408985922969,0.1780496524471633,0.1780496524471633,0.4212651512126512,0.018850705188507046,0.18451840084518414,0.004373120043731199,0.002911022695776891,0.002949766362830999,0.0,0.3560993048943266,0.007587059075870591,0.0014454696811213644,0.0
5,complete,364,453.6067636877863,454,90,160,16,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,complete,455,544.6067636877864,545,90,160,16,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,complete,546,635.6067636877864,636,90,160,16,0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,complete,637,726.6067636877864,727,90,160,16,0,90.00000000000007,2.1113222433354426e-05,0.0025124734695691764,0.0006711782289340038,1.259385197779036e-05,1.259385197779036e-05,0.0031814292540365114,2.1113222433354426e-05,1.259385197779036e-05,0.49677745552333014,0.49677745552333014,0.0025124734695691764,1.889077796668554e-05,0.0031814292540365114,4.222644486670885e-05,3.778155593337108e-05,0.0006522874509673183,0.0,0.9935549110466603,0.0,0.0,0.0
9,complete,728,817.6067636877864,818,90,160,16,0,90.0000000000001,0.0,0.013301330133013286,0.00020002000200020016,6.667333400006672e-05,6.667333400006672e-05,0.013601360136013615,0.0,6.667333400006672e-05,0.48634863486348634,0.48634863486348634,0.013301330133013286,0.00010001000100010008,0.013601360136013615,0.0,0.00020002000200020016,0.00010001000100010008,0.0,0.9726972697269727,0.0,0.0,0.0
10,complete,819,908.6067636877864,909,90,160,16,0,90.0000000000001,0.0,0.013301330133013286,0.00020002000200020016,6.667333400006672e-05,6.667333400006672e-05,0.013601360136013615,0.0,6.667333400006672e-05,0.48634863486348634,0.48634863486348634,0.013301330133013286,0.00010001000100010008,0.013601360136013615,0.0,0.00020002000200020016,0.00010001000100010008,0.0,0.9726972697269727,0.0,0.0,0.0
11,complete,910,999.6067636877864,1000,90,160,16,0,90.00000000000009,0.00015998400159983987,0.015794059491273903,0.0002800066694667335,0.00015555155711107106,0.00015555155711107106,0.014734217480675502,0.00015998400159983987,0.00015555155711107106,0.4842025468420255,0.4842025468420255,0.015794059491273903,0.00014000333473336674,0.014734217480675502,0.00031996800319967973,0.0004666546713332132,0.00014000333473336674,0.0,0.968405093684051,0.0,0.0,0.0
12,complete,1001,1090.6067636877863,1091,90,160,16,0,90.00000000000007,0.001199880011998801,0.03199680031996797,0.0007999200079991993,0.0007332600073326004,0.0007332600073326004,0.022097790220977836,0.001199880011998801,0.0007332600073326004,0.47025297470252975,0.47025297470252975,0.03199680031996797,0.00039996000399959963,0.022097790220977836,0.002399760023997602,0.0021997800219978013,0.00039996000399959963,0.0,0.9405059494050595,0.0,0.0,0.0
13,complete,1092,1181.6067636877863,1182,90,160,16,0,90.0,0.0006666000066659997,0.017776000177759994,0.0004444000044440003,0.0004073666707403336,0.0004073666707403336,0.012276550122765498,0.0006666000066659997,0.0004073666707403336,0.4834738748347388,0.4834738748347388,0.017776000177759994,0.00022220000222200015,0.012276550122765498,0.0013332000133319994,0.001222100012221001,0.00022220000222200015,0.0,0.9669477496694776,0.0,0.0,0.0
14,complete,1183,1272.6067636877863,1273,90,160,16,0,89.99999999999986,0.04007666666666677,0.0918866666666669,0.0021266666666666712,0.005402222222222232,0.005402222222222232,0.25344000000000044,0.04007666666666677,0.005402222222222232,0.27809333333333286,0.27809333333333286,0.0918866666666669,7.33333333333335e-05,0.25344000000000044,0.08015333333333353,0.016206666666666696,0.000586666666666668,0.0,0.5561866666666657,0.00146666666666667,0.0,0.0
15,complete,1274,1363.6067636877863,1364,90,160,16,0,89.99999999999999,0.05464999999999999,0.1252999999999999,0.002900000000000002,0.00736666666666667,0.00736666666666667,0.34560000000000035,0.05464999999999999,0.00736666666666667,0.19739999999999985,0.19739999999999985,0.1252999999999999,0.00010000000000000003,0.34560000000000035,0.10929999999999998,0.02210000000000001,0.0008000000000000003,0.0,0.3947999999999997,0.0020000000000000018,0.0,0.0
16,complete,1365,1454.6067636877863,1455,90,160,16,0,90.00000000000003,0.09458499999999996,0.29106000000000043,0.010880000000000003,0.01079666666666665,0.01079666666666665,0.24732000000000023,0.09458499999999996,0.01079666666666665,0.1145899999999997,0.1145899999999997,0.29106000000000043,9.999999999999998e-05,0.24732000000000023,0.18916999999999992,0.032389999999999954,0.004790000000000002,0.0024500000000000012,0.2267299999999994,0.002350000000000001,0.0,0.0036399999999999983
