round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_id,plane_index,sat_index,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
1,complete,0,89.60676368778634,90,90,20,2,0,90.00000000000001,0.06794320567943216,0.10208979102089795,0.42625737426257326,0.0006999300069992989,0.0006999300069992989,0.3004699530046997,0.06794320567943216,0.0006999300069992989,0.01659834016598342,0.01659834016598342,0.10208979102089798,0.32456754324567505,0.30046995300469975,0.13588641135886434,0.0020997900209978972,0.07959204079592032,0.0,0.03319668033196685,0.022097790220977853,0.0,0.0
2,complete,91,180.60676368778633,181,90,20,2,0,90.00000000000001,0.06794320567943216,0.10208979102089795,0.42625737426257326,0.0006999300069992989,0.0006999300069992989,0.3004699530046997,0.06794320567943216,0.0006999300069992989,0.01659834016598342,0.01659834016598342,0.10208979102089798,0.32456754324567505,0.30046995300469975,0.13588641135886434,0.0020997900209978972,0.07959204079592032,0.0,0.03319668033196685,0.022097790220977853,0.0,0.0
3,complete,182,271.6067636877863,272,90,20,2,0,90.00000000000001,0.06086062727060636,0.0908464809074648,0.4508621104556207,0.0006406785247401179,0.0006406785247401179,0.2836066248930665,0.06086062727060636,0.0006406785247401179,0.025520746814207487,0.025520746814207487,0.0908464809074648,0.32696003844060006,0.2836066248930665,0.12172125454121271,0.0019220355742203537,0.1042262584852625,0.0,0.05104149362841497,0.01967581352975809,0.0,0.0
4,complete,273,362.6067636877863,363,90,20,2,0,89.99999999999994,0.004490000000000003,0.001157777777777779,0.714238888888889,0.0006392592592592593,0.0006392592592592593,0.10626333333333315,0.004490000000000003,0.0006392592592592593,0.08372111111111118,0.08372111111111118,0.001125555555555557,0.23715666666666646,0.10626333333333315,0.008980000000000005,0.001917777777777778,0.4768466666666669,0.0,0.16744222222222235,0.00023555555555555564,3.222222222222223e-05,0.0
5,complete,364,453.6067636877863,454,90,20,2,0,90.0000000000001,0.005099999999999989,0.0016999999999999984,0.8542000000000002,0.0016333333333333328,0.0016333333333333328,0.016999999999999956,0.005099999999999989,0.0016333333333333328,0.05599999999999998,0.05599999999999998,0.0015999999999999983,0.007999999999999997,0.016999999999999956,0.010199999999999978,0.004899999999999998,0.8461000000000002,0.0,0.11199999999999996,9.99999999999999e-05,9.99999999999999e-05,0.0
6,complete,455,544.6067636877864,545,90,20,2,0,90.0000000000001,0.005099999999999989,0.0016999999999999984,0.8542000000000002,0.0016333333333333328,0.0016333333333333328,0.016999999999999956,0.005099999999999989,0.0016333333333333328,0.05599999999999998,0.05599999999999998,0.0015999999999999983,0.007999999999999997,0.016999999999999956,0.010199999999999978,0.004899999999999998,0.8461000000000002,0.0,0.11199999999999996,9.99999999999999e-05,9.99999999999999e-05,0.0
7,complete,546,635.6067636877864,636,90,20,2,0,90.0000000000001,0.005099999999999989,0.0016999999999999984,0.8542000000000002,0.0016333333333333328,0.0016333333333333328,0.016999999999999956,0.005099999999999989,0.0016333333333333328,0.05599999999999998,0.05599999999999998,0.0015999999999999983,0.007999999999999997,0.016999999999999956,0.010199999999999978,0.004899999999999998,0.8461000000000002,0.0,0.11199999999999996,9.99999999999999e-05,9.99999999999999e-05,0.0
8,complete,637,726.6067636877864,727,90,20,2,0,89.99999999999993,0.09892909290929096,0.041070093009301,0.5354358535853584,0.0037423809047571464,0.0037423809047571464,0.15087443944394446,0.09892909290929096,0.0037423809047571464,0.03176714271427145,0.03176714271427145,0.04034564856485655,0.06148885488548863,0.15087443944394444,0.19785818581858186,0.011227142714271436,0.4667797439743971,0.006280628062806279,0.05725365736573662,0.0017667146714671503,0.0007244444444444443,0.0054005400540054075
9,complete,728,817.6067636877864,818,90,20,2,0,90.0,0.060656065606560644,0.030103010301030114,0.5074507450745069,0.003967063373003968,0.003967063373003968,0.3054305430543059,0.060656065606560644,0.003967063373003968,0.0119011901190119,0.0119011901190119,0.030103010301030114,0.05470547054705479,0.3054305430543059,0.12131213121312129,0.011901190119011905,0.4380438043804375,0.015701570157015714,0.008100810081008084,0.0012001200120012013,0.0,0.0135013501350135
10,complete,819,908.6067636877864,909,90,20,2,0,90.0,0.060656065606560644,0.030103010301030114,0.5074507450745069,0.003967063373003968,0.003967063373003968,0.3054305430543059,0.060656065606560644,0.003967063373003968,0.0119011901190119,0.0119011901190119,0.030103010301030114,0.05470547054705479,0.3054305430543059,0.12131213121312129,0.011901190119011905,0.4380438043804375,0.015701570157015714,0.008100810081008084,0.0012001200120012013,0.0,0.0135013501350135
