round,round_status,round_start_s,round_target_s,round_finalize_s,round_duration_s,satellite_count,total_sum,norm_annualcrop,norm_forest,norm_herbaceousvegetation,norm_highway,norm_industrial,norm_pasture,norm_permanentcrop,norm_residential,norm_river,norm_sealake,landcover_norm_tree_cover,landcover_norm_shrubland,landcover_norm_grassland,landcover_norm_cropland,landcover_norm_built_up,landcover_norm_bare_sparse_vegetation,landcover_norm_snow_and_ice,landcover_norm_permanent_water_bodies,landcover_norm_herbaceous_wetland,landcover_norm_mangroves,landcover_norm_moss_and_lichen
11,complete,910,999.6067636877864,1000,90,200,17999.999999999996,0.023554897022790802,0.1691328979340529,0.09897014415806278,0.0015484476840985162,0.0015484476840985162,0.11548895377454381,0.023554897022790802,0.0015484476840985162,0.28232643351773173,0.28232643351773173,0.16815297944634588,0.03413932703938352,0.11548895377454381,0.047109794045581604,0.00464534305229555,0.058292083646886934,0.002956121548178835,0.5616967454872847,0.003711600411543431,0.0009799184877069863,0.0028271330602488483
12,complete,1001,1090.6067636877863,1091,90,200,17999.999999999996,0.02399098336629202,0.15400321425693902,0.10308715629200577,0.0015663954474402534,0.0015663954474402534,0.11769306262474791,0.02399098336629202,0.0015663954474402534,0.28626770687570124,0.28626770687570124,0.15314580717100393,0.031765560296107144,0.11769306262474788,0.047981966732584036,0.004699186342320761,0.0647831433592902,0.002475867181666371,0.5700595465697362,0.0037807109662672147,0.0008574070859351114,0.002757741670341221
13,complete,1092,1181.6067636877863,1182,90,200,17999.999999999993,0.021327976226102958,0.15275995897187683,0.10694044445703756,0.0013482193733660177,0.0013482193733660177,0.1156629497998508,0.021327976226102958,0.0013482193733660177,0.28896801809946543,0.28896801809946543,0.15184186727616472,0.035408426039083785,0.1156629497998508,0.042655952452205916,0.0040446581200980535,0.06380881146219804,0.003606268085333964,0.5743297681135969,0.0043474081911026455,0.0009180916957120662,0.00337579876465312
14,complete,1183,1272.6067636877863,1273,90,200,18000.0,0.0191342412557105,0.15572694074756602,0.11697693954796194,0.0010892976698340007,0.0010892976698340007,0.11028448001009754,0.0191342412557105,0.0010892976698340007,0.28773763208672576,0.28773763208672576,0.15466613425711462,0.039643839280243766,0.1102844800100975,0.03826848251142099,0.003267893009502001,0.06771537139378035,0.004425801596862637,0.5710494625765888,0.005220324459287439,0.0010608064904514443,0.004397404414650317
15,complete,1274,1363.6067636877863,1364,90,200,17999.999999999993,0.0218209589478314,0.14524439696253236,0.1127432488161531,0.001370858763472898,0.001370858763472898,0.111778517825649,0.0218209589478314,0.001370858763472898,0.29123967110479204,0.29123967110479204,0.14437128618425288,0.03648667493123785,0.11177851782564897,0.043641917895662796,0.004112576290418694,0.06900709613832752,0.0027990318315376478,0.5796803103780466,0.004134186693051509,0.0008731107782794212,0.0031152910535362224
16,complete,1365,1454.6067636877863,1455,90,200,18000.0,0.02297750240189721,0.15425595544316617,0.10393889615930471,0.001492899112501166,0.001492899112501166,0.1162668209135319,0.02297750240189721,0.001492899112501166,0.2875523126713497,0.2875523126713497,0.1533262066008678,0.032490298022600395,0.11626682091353188,0.045955004803794414,0.004478697337503501,0.0647885468058823,0.0030018606642784732,0.572102764678421,0.0037634017790163917,0.0009297488422983009,0.002896649551805569
17,complete,1456,1545.6067636877863,1546,90,200,18000.000000000007,0.023930538253963532,0.17034241891698196,0.09399532720101657,0.0015913052165921482,0.0015913052165921482,0.11985576399243314,0.023930538253963532,0.0015913052165921482,0.28158574886593246,0.28158574886593246,0.169362442043938,0.03642482519733339,0.11985576399243314,0.047861076507927064,0.004773915649776443,0.05102222247370243,0.0022661236490876565,0.5609053740827773,0.003991875843737127,0.0009799768730438432,0.0025564036862436735
18,complete,1547,1636.6067636877863,1637,90,200,18000.000000000004,0.02403600132414999,0.1604336589359961,0.10827075823717404,0.0015682441736720306,0.0015682441736720306,0.11438873432914903,0.02403600132414999,0.0015682441736720306,0.28206505666418236,0.28206505666418236,0.15949105489779,0.03614988738637301,0.114388734329149,0.048072002648299965,0.00470473252101609,0.06546985088646183,0.002937352559684809,0.5611927607686801,0.0038293636303389535,0.0009426040382059592,0.0028216563340002455
19,complete,1638,1727.6067636877863,1728,90,200,18000.0,0.02347055476276603,0.1553819237290141,0.1080492056209118,0.0015518779384229627,0.0015518779384229627,0.11786242614167643,0.02347055476276603,0.0015518779384229627,0.2835548505837983,0.2835548505837983,0.15459566864382365,0.03415083331071318,0.1178624261416764,0.04694110952553204,0.00465563381526889,0.06743250632200143,0.0025103164699621975,0.5645993846976345,0.0036711849629693324,0.0007862550851904792,0.0027946810252278366
20,complete,1729,1818.6067636877863,1819,90,200,18000.0,0.02031163650223183,0.15710312169560395,0.1066828722712838,0.0011610292679534642,0.0011610292679534642,0.11464948200578717,0.02031163650223183,0.0011610292679534642,0.2887290816095005,0.2887290816095005,0.15612709623418847,0.03467622931846491,0.11464948200578717,0.04062327300446366,0.0034830878038603925,0.06333357357323088,0.0041082012034798845,0.5733499620155211,0.004907067276240509,0.0009760254614154947,0.003766002103347434
21,complete,1820,1909.6067636877863,1910,90,200,18000.000000000007,0.018647630118124054,0.15861541435058416,0.11469639126782914,0.0010930614866105682,0.0010930614866105682,0.11237290111770418,0.018647630118124054,0.0010930614866105682,0.28687042428390136,0.28687042428390136,0.15758538410734818,0.038376615204742455,0.11237290111770418,0.03729526023624811,0.003279184459831703,0.06676680213539343,0.004540085126839693,0.5692007634409632,0.005113968344035996,0.0010300302432359777,0.004439005583657217
22,complete,1911,2000.6067636877863,2001,90,200,17999.999999999996,0.024350326518975538,0.14336754368512175,0.11162130205301693,0.001569778993254118,0.001569778993254118,0.11222866894459152,0.024350326518975538,0.001569778993254118,0.2896862476497782,0.2896862476497782,0.14248868289612512,0.03623965208097222,0.11222866894459146,0.048700653037951055,0.004709336979762354,0.06897795704919822,0.0024444631311395944,0.5769280321684169,0.0037329987617935705,0.0008788607889965356,0.0026706941610529114
23,complete,2002,2091.6067636877865,2092,90,200,17999.999999999996,0.0232052333905385,0.14921338763472533,0.10692084109196918,0.0014979045376540359,0.0014979045376540359,0.11494863080890283,0.0232052333905385,0.0014979045376540359,0.28900648003518176,0.28900648003518176,0.14834848450983854,0.03390192396084576,0.11494863080890275,0.046410466781076964,0.004493713612962109,0.06646609624721245,0.00303738543611326,0.5749755746342505,0.0036397839809778026,0.0008649031248866952,0.002913036902933107
24,complete,2093,2182.6067636877865,2183,90,200,18000.0,0.022975714931811775,0.16649210827511804,0.09000561438899857,0.0015323433685563138,0.0015323433685563138,0.11548778020039165,0.022975714931811775,0.0015323433685563138,0.28873301858309963,0.28873301858309963,0.1653415297376843,0.03432580031791569,0.1154877802003916,0.04595142986362353,0.004597030105668938,0.0490318142985755,0.0022545308982626177,0.5752115062679367,0.0040596244044928086,0.0011505785374336642,0.0025883753680145008
25,complete,2184,2273.6067636877865,2274,90,200,18000.000000000007,0.023978181845713466,0.15396820695452434,0.11115144199314912,0.001563540829300601,0.001563540829300601,0.11566119521368692,0.023978181845713466,0.001563540829300601,0.2832860848296554,0.2832860848296554,0.15307870953206995,0.03674264312515373,0.11566119521368692,0.04795636369142693,0.004690622487901802,0.06772258238479509,0.0029400766741942723,0.5636320929851166,0.00387647411264204,0.0008894974224543494,0.002809742370558162
26,complete,2275,2364.6067636877865,2365,90,200,18000.000000000007,0.023040611703049118,0.15580941106539178,0.11143831289103141,0.0015308962090824856,0.0015308962090824856,0.1164045656360163,0.023040611703049118,0.0015308962090824856,0.28283689918710747,0.28283689918710747,0.15500039757254108,0.03554916361531929,0.1164045656360163,0.046081223406098236,0.00459268862724746,0.0693584407375284,0.0025457699821384004,0.5631280283920765,0.0036925832542607263,0.0008090134928506671,0.0028381252839229463
27,complete,2366,2455.6067636877865,2456,90,200,18000.0,0.01968466964505905,0.16067599798651103,0.10671349192505875,0.001035992253938131,0.001035992253938131,0.11302008550738436,0.01968466964505905,0.001035992253938131,0.2885565542645567,0.2885565542645567,0.15969124029882775,0.03538902269126495,0.11302008550738434,0.03936933929011809,0.0031079767618143925,0.0619035604499285,0.004386015502714419,0.5727270930263989,0.005338349055298371,0.0009847576876833295,0.004082559728566908
28,complete,2457,2546.6067636877865,2547,90,200,18000.0,0.020279015973917153,0.15957078233967842,0.11094622897547922,0.001256911656916939,0.001256911656916939,0.11474128177165666,0.020279015973917153,0.001256911656916939,0.28520646999730026,0.28520646999730026,0.15860793238637536,0.03684515950073003,0.11474128177165663,0.04055803194783429,0.003770734970750819,0.06543494000982363,0.004132980959780534,0.5662799590348201,0.004665626343578015,0.0009628499533030232,0.004000503121347577
29,complete,2548,2637.6067636877865,2638,90,200,18000.0,0.0245938050852658,0.14494384541017802,0.11131533216321912,0.0016187152306513396,0.0016187152306513396,0.11287862043926934,0.0245938050852658,0.0016187152306513396,0.28840922306242395,0.28840922306242395,0.14404113218356993,0.0365267353781413,0.1128786204392693,0.04918761017053158,0.0048561456919540185,0.06837237836045573,0.0023616543676506303,0.5744567917571973,0.003779243258249654,0.0009027132266080315,0.002636975166372499
30,complete,2639,2728.6067636877865,2729,90,200,18000.0,0.023226045703528125,0.14752442341375366,0.10625875383246494,0.0014974309144403773,0.0014974309144403773,0.1134335634219761,0.023226045703528125,0.0014974309144403773,0.2909194375907139,0.2909194375907139,0.14663572129134914,0.03494126667226148,0.11343356342197607,0.04645209140705624,0.004492292743321133,0.06482392522743144,0.00306921544349716,0.5787696597379309,0.003571365583130991,0.0008887021224044267,0.0029221963496409795
31,complete,2730,2819.6067636877865,2820,90,200,17999.999999999996,0.02273400589771551,0.15836697704054148,0.09462220068454123,0.0015382542721556697,0.0015382542721556697,0.11437313642336759,0.02273400589771551,0.0015382542721556697,0.2912774556198258,0.2912774556198258,0.15721421529687307,0.034709295783875584,0.11437313642336756,0.045468011795431015,0.004614762816467006,0.0533558079274189,0.002229869749656951,0.5803250414899948,0.003933941071126841,0.0011527617436682962,0.0026231559021199185
32,complete,2821,2910.6067636877865,2911,90,200,18000.0,0.02402771851866538,0.14943420871961077,0.11074977629669562,0.0015722426537843875,0.0015722426537843875,0.11742408224811253,0.02402771851866538,0.0015722426537843875,0.2848098838684486,0.2848098838684486,0.1486196239635572,0.03688128004272886,0.11742408224811253,0.04805543703733076,0.0047167279613531616,0.06722224981869782,0.002922354037458487,0.5666974136994387,0.0038819969933614426,0.000814584756053522,0.002764249441907455
33,complete,2912,3001.6067636877865,3002,90,200,18000.0,0.022265272457856023,0.1573801462697948,0.1117898366455558,0.0013889049013384536,0.0013889049013384536,0.11374621144309492,0.022265272457856023,0.0013889049013384536,0.28419327301091357,0.28419327301091357,0.15641040197665854,0.03628387192431497,0.11374621144309492,0.044530544915712046,0.004166714704015363,0.0679177445500899,0.0028661153422411324,0.565520430679586,0.004310562643513626,0.0009697442931363973,0.0032776575276371655
34,complete,3003,3092.6067636877865,3093,90,200,18000.0,0.019581373708070785,0.1615566938413582,0.10934990928224357,0.0010352166279230782,0.0010352166279230782,0.11283008730089851,0.019581373708070785,0.0010352166279230782,0.2869974561377945,0.2869974561377945,0.16063233864096924,0.037029931080874476,0.1128300873008985,0.039162747416141556,0.0031056498837692347,0.0629801338914221,0.00424133847372698,0.5697535738018618,0.005248814714423089,0.0009243552003891377,0.004091029595523944
35,complete,3094,3183.6067636877865,3184,90,200,18000.000000000004,0.022285689454512304,0.16082463314878404,0.10769488026058077,0.0014095115320486035,0.0014095115320486035,0.11753270274065176,0.022285689454512304,0.0014095115320486035,0.28257393517240653,0.28257393517240653,0.1599009395514978,0.03518791827492571,0.11753270274065174,0.044571378909024593,0.00422853459614581,0.0646609851264013,0.0036294571066328545,0.5615184132381803,0.0043782767715173,0.0009236935972861134,0.003467700087736476
36,complete,3185,3274.6067636877865,3275,90,200,18000.000000000004,0.023997344892773168,0.14808975838673247,0.11004136108456279,0.0016348047941673472,0.0016348047941673472,0.11558589523482109,0.023997344892773168,0.0016348047941673472,0.2866919405629176,0.2866919405629176,0.147209147008829,0.03563846923049175,0.11558589523482106,0.04799468978554632,0.004904414382502042,0.06800224503897395,0.002304101314243988,0.5710797798115914,0.0037645444321464322,0.0008806113779034161,0.00263610238295066
